住所（所在地）,名称,種別,郵便番号,ＴＥＬ,ＦＡＸ,緯度,経度
西区指扇3743,西区役所,区役所,331-8587,620-2626,620-2762,35.9251934,139.5796525
西区西遊馬533-1,馬宮コミュニティセンター,コミュニティ施設,331-0061,625-8821,625-8822,35.9051702,139.5726662
西区三橋6丁目642-4,西部文化センター,コミュニティ施設,331-0052,625-3851,625-2881,35.9175959,139.5920055
北区宮原町1丁目852-1,北図書館,図書館,331-0812,669-6111,669-6115,35.9314988,139.6203592
北区櫛引町2丁目499-1,大宮西部図書館,図書館,331-0825,664-4946,667-7715,35.9194453,139.6094958
北区本郷町284,大砂土公民館,公民館,331-0802,666-3593,651-4043,35.9389837,139.6301167
北区宮原町4丁目66-4,宮原公民館,公民館,331-0812,667-0621,651-4089,35.9469762,139.6110626
北区吉野町2丁目195-1,宮原コミュニティセンター,コニュニティ施設,337-0053,653-8558,653-8541,35.958594,139.6008687
北区宮原町2-18-7,東京ガスライフバル大宮　大宮店,民間施設,331-0812,048-651-0313,048-651-0313,35.94117,139.61298
大宮区吉敷町1-124-1,大宮区役所,区役所,330-8501,646-3027,646-3162,35.901724,139.630685
大宮区三橋2丁目20,三橋公民館,公民館,330-0856,642-6893,641-3897,35.9039156,139.605006
大宮区大成町2丁目335-1,大成公民館,公民館,330-0852,663-4927,651-4082,35.9139653,139.6114901
大宮区堀の内町3丁目140,大宮東公民館,公民館,330-0804,643-4391,641-3927,35.9141153,139.6366432
大宮区吉敷町1-124-1,大宮図書館,図書館,330-0803,643-3701,648-8460,35.901724,139.630685
大宮区高鼻町2丁目292-1,高鼻コミュニティセンター,コミュニティ施設,330-0803,644-3360,644-3361,35.9158985,139.6316136
見沼区堀崎町12-36,見沼区役所,区役所,337-8586,681-6026,681-6162,35.9352311,139.654387
見沼区春野2丁目12-1,春野図書館,図書館,337-0002,687-8301,687-8306,35.9590652,139.6607831
見沼区東大宮4丁目31-1,東大宮コミュニティセンター,コミュニティ施設,337-0051,667-5604,654-5594,35.9495675,139.6373863
見沼区大谷1210,七里コミュニティセンター,コミュニティ施設,337-0014,687-3688,687-3705,35.9210154,139.6744493
見沼区染谷3丁目147-1,片柳コミュニティセンター,コミュニティ施設,337-0026,686-8666,686-2999,35.9096477,139.6841321
見沼区上山口新田508-1,みぬま見聞館,環境学習施設,337-0044,646-6030,646-6033,35.900752,139.649008
中央区下落合5丁目7-10,中央区役所,区役所,338-8686,840-6027,840-6162,35.8839407,139.6261544
中央区下落合5丁目11-11,与野図書館,図書館,338-0002,853-7816,857-1946,35.8852568,139.6271132
中央区大戸6丁目28-16,与野南図書館,図書館,338-0012,855-3735,855-6173,35.8668501,139.6339624
中央区桜丘2丁目6-28,西与野コミュニティホール,コミュニティ施設,338-0005,854-8584,854-8584,35.8821492,139.6149278
中央区鈴谷7丁目5-11,鈴谷公民館,公民館,338-0013,859-7322,859-7323,35.8741404,139.6242389
中央区上落合6丁目9-3,上落合公民館,公民館,338-0001,852-3132,852-3147,35.8935532,139.6234418
桜区道場4丁目3-1,桜区役所,区役所,338-8586,856-6136,856-6272,35.8565299,139.6094078
桜区田島3丁目27-6,田島公民館,公民館,338-0837,863-0400,863-0400,35.845466,139.6328088
桜区西堀4丁目2-35,土合支所,支所,338-0832,862-5101,836-1381,35.8518048,139.6278322
桜区五関839-2,大久保公民館,公民館,338-0815,854-8441,854-8441,35.8702243,139.5978328
浦和区常盤6丁目4-4,浦和区役所,区役所,330-9586,829-6049,829-6231,35.861609,139.6454925
浦和区東高砂町11-1,中央図書館,図書館,330-0055,871-2100,884-5500,35.8586737,139.6591511
浦和区岸町5丁目1-3,岸町公民館,公民館,330-0064,824-0168,825-3230,35.8521501,139.6545551
浦和区領家4丁目21-21,領家公民館,公民館,330-0072,831-2265,831-2265,35.8820975,139.6537434
浦和区神明1丁目28-13,浦和南公民館,公民館,330-0065,822-1088,822-1088,35.8501092,139.6610237
浦和区常盤9丁目30-1,常盤公民館,公民館,330-0061,832-1841,832-1841,35.8712225,139.6431982
南区別所7丁目20-1,南区役所,区役所,336-8586,844-7136,844-7270,35.8452604,139.6453465
南区大谷場2丁目6-25,南浦和コミュニティセンター,コミュニティ施設,336-0016,886-5856,886-5856,35.8545382,139.6722249
南区文蔵4丁目19-3,文蔵公民館,公民館,336-0025,845-5151,845-5152,35.837957,139.6695771
南区大谷口1089-1,谷田公民館,公民館,336-0042,882-9272,882-9272,35.8614998,139.6770428
南区曲本2丁目7-11,西浦和公民館,公民館,336-0033,862-9522,862-9522,35.8377895,139.6388785
南区根岸3丁目10-7,六辻公民館,公民館,336-0024,861-1930,861-1930,35.8397853,139.6623588
南区太田窪2504-5,善前公民館,公民館,336-0015,887-0580,887-0580,35.853811,139.6870176
南区別所7-1-1,東京ガスライフバル浦和　武蔵浦和店,民間施設,336-0021,837-1919,837-1956,35.846669,139.650491
緑区中尾975-1,緑区役所,区役所,336-8587,712-1137,712-1272,35.8711031,139.6841506
緑区三室2614-2,大古里公民館,公民館,336-0911,810-4155,810-4156,35.8873041,139.6729557
緑区大門1973-1,美園公民館,公民館,336-0963,878-0515,878-0515,35.8895447,139.7178744
緑区東高砂町11-1,美園コミュニティセンター,コミュニティ施設,336-0962,764-8810,764-9310,35.8944664,139.729171
岩槻区本町3丁目2-5,岩槻区役所,区役所,339-8585,790-0128,790-0262,35.949945,139.6942564
岩槻区本町1丁目10-7,コミュニティセンターいわつき,コミュニティ施設,339-0057,758-1980,758-1985,35.9470696,139.6917025
岩槻区東岩槻6丁目6,ふれあいプラザいわつき,コミュニティ施設,339-0005,756-6000,756-6036,35.9621382,139.7162409
岩槻区笹久保1348-1,岩槻南部公民館,公民館,339-0034,798-7620,797-0458,35.9164018,139.7156872
岩槻区本丸3丁目17-1,岩槻本丸公民館,公民館,339-0058,758-3100,758-5101,35.9540881,139.7052856
北区宮原町2丁目18-7,東京ガスライフバル大宮　大宮店,民間施設,331-0812,651-0313,651-0313,35.94117,139.61298
