団体コード,団体名,施設_名称,施設_電話番号,施設_住所_表記,lat,lon,施設_種別,サービス_対象［利用可能日齢］,施設_収容人数［総定員］人数,施設_保育開始時間,施設_保育終了時間
11007,さいたま市,岸町保育園,"048-
822-3010
",さいたま市浦和区岸町6丁目5-12,35.8537244,139.6516905,公立保育所,６か月〜５歳,150,7:30,19:30
11007,さいたま市,本太保育園,"048-
882-3561
",さいたま市浦和区本太4丁目3-15,35.8667887,139.6575734,公立保育所,６か月〜５歳,140,7:30,19:30
11007,さいたま市,領家保育園,"048-
831-4378
",さいたま市浦和区領家7丁目14-16,35.8823899,139.6490665,公立保育所,６か月〜５歳,110,7:30,19:30
11007,さいたま市,駒場保育園,"048-
886-9200
",さいたま市浦和区駒場1丁目27-7,35.8721095,139.6602933,公立保育所,５７日〜５歳,110,7:30,19:30
11007,さいたま市,大久保保育園,"048-
854-8818
",さいたま市桜区大久保領家373-1,35.8695246,139.602856,公立保育所,６か月〜５歳,110,7:30,19:30
11007,さいたま市,浦和中央保育園,"048-
822-2067
",さいたま市浦和区仲町2丁目13-7,35.8585946,139.6518365,公立保育所,６か月〜５歳,95,7:30,20:30
11007,さいたま市,南浦和保育園,"048-
861-6954
",さいたま市南区根岸2丁目19-3,35.8400479,139.6652486,公立保育所,５７日〜５歳,110,7:30,19:30
11007,さいたま市,田島保育園,"048-
862-3425
",さいたま市桜区田島2丁目16-7,35.8434562,139.6314637,公立保育所,６か月〜５歳,190,7:30,19:30
11007,さいたま市,尾間木保育園,"048-
873-1103
",さいたま市緑区中尾1432-5,35.8733279,139.6860998,公立保育所,１歳〜５歳,110,7:30,19:30
11007,さいたま市,原山保育園,"048-
885-7403
",さいたま市緑区原山1丁目7-2,35.8694891,139.6720253,公立保育所,６か月〜５歳,90,7:30,19:30
11007,さいたま市,常盤保育園,"048-
833-8730
",さいたま市浦和区常盤9丁目3-16,35.8671279,139.6468403,公立保育所,１歳〜５歳,70,7:30,20:30
11007,さいたま市,常盤北保育園,"048-
833-8728
",さいたま市浦和区針ヶ谷4丁目1-1,35.8775811,139.6408305,公立保育所,１歳〜５歳,120,7:30,19:30
11007,さいたま市,文蔵保育園,"048-
863-1037
",さいたま市南区文蔵3丁目7-14,35.8400475,139.6756052,公立保育所,１歳〜５歳,110,7:30,19:30
11007,さいたま市,白幡保育園,"048-
863-8105
",さいたま市南区白幡3丁目1-2,35.8448493,139.6554829,公立保育所,１歳〜５歳,140,7:30,20:30
11007,さいたま市,大谷場保育園,"048-
885-8992
",さいたま市南区南浦和3丁目36-11,35.8463121,139.6742633,公立保育所,１歳〜５歳,110,7:30,19:30
11007,さいたま市,白鍬保育園,"048-
854-5539
",さいたま市桜区白鍬511,35.884807,139.603948,公立保育所,６か月〜５歳,90,7:30,19:30
11007,さいたま市,東仲町保育園,"048-
885-9101
",さいたま市浦和区東仲町28-16,35.8606002,139.6600946,公立保育所,１歳〜５歳,80,7:30,19:30
11007,さいたま市,辻保育園,"048-
864-3385
",さいたま市南区辻3丁目10-15,35.8393229,139.6573881,公立保育所,６か月〜５歳,135,7:30,19:30
11007,さいたま市,曲本保育園,"048-
864-3384
",さいたま市南区曲本4-5-7,35.838065,139.642113,公立保育所,６か月〜５歳,130,7:30,19:30
11007,さいたま市,大谷口保育園,"048-
887-4989
",さいたま市南区大谷口1089-1,35.8614998,139.6770428,公立保育所,６か月〜５歳,130,7:30,19:30
11007,さいたま市,大東保育園,"048-
887-6168
",さいたま市浦和区大東2-18-7,35.882009,139.662588,公立保育所,１歳〜５歳,130,7:30,19:30
11007,さいたま市,三室保育園,"048-
873-7877
",さいたま市緑区三室1629-6,35.8826603,139.6787069,公立保育所,６か月〜５歳,140,7:30,19:30
11007,さいたま市,西堀保育園,"048-
865-0271
",さいたま市桜区桜田3丁目9-12,35.8520724,139.6188596,公立保育所,６か月〜５歳,120,7:30,19:30
11007,さいたま市,針ヶ谷保育園,"048-
824-3746
",さいたま市浦和区針ヶ谷1丁目4-3,35.8797377,139.6420802,公立保育所,６か月〜５歳,135,7:30,19:30
11007,さいたま市,上大久保保育園,"048-
855-4801
",さいたま市桜区上大久保940-3,35.8693844,139.6093487,公立保育所,１歳〜５歳,130,7:30,19:30
11007,さいたま市,武蔵浦和保育園,"048-
837-3411
",さいたま市南区鹿手袋4丁目1-12,35.8487029,139.6421426,公立保育所,６か月〜５歳,165,7:30,19:30
11007,さいたま市,大宮保育園,"048-
641-1497
",さいたま市大宮区吉敷町1丁目132-3,35.9013154,139.6306438,公立保育所,５７日〜５歳,100,7:30,20:30
11007,さいたま市,桜木保育園,"048-
641-1229
","さいたま市大宮区桜木町1丁目185-2
のびのびプラザ大宮４階",35.9034905,139.622524,公立保育所,５７日〜５歳,165,7:30,19:30
11007,さいたま市,日進保育園,"048-
663-2791
",さいたま市北区日進町2丁目632,35.9296988,139.6092833,公立保育所,６か月〜５歳,90,7:30,19:30
11007,さいたま市,東大成保育園,"048-
664-6582
",さいたま市北区東大成町2丁目103,35.9258554,139.6205332,公立保育所,６か月〜５歳,100,7:30,19:30
11007,さいたま市,宮原保育園,"048-
663-4120
",さいたま市北区宮原町2丁目83-2,35.9421783,139.6171527,公立保育所,６か月〜５歳,90,7:30,19:30
11007,さいたま市,大砂土保育園,"048-
663-7233
",さいたま市北区土呂町1丁目51-8,35.9354279,139.628256,公立保育所,６か月〜５歳,100,7:30,19:30
11007,さいたま市,三橋保育園,"048-
643-3145
",さいたま市大宮区三橋2丁目929,35.9022307,139.6056913,公立保育所,６か月〜５歳,100,7:30,19:30
11007,さいたま市,天沼保育園,"048-
642-4240
",さいたま市大宮区天沼町2丁目438-1,35.8988286,139.6394986,公立保育所,１歳〜５歳,80,7:30,19:30
11007,さいたま市,大和田保育園,"048-
683-2536
",さいたま市見沼区大和田町1丁目1230-92,35.9244361,139.6522634,公立保育所,１歳〜５歳,80,7:30,19:30
11007,さいたま市,日進西保育園,"048-
663-0063
",さいたま市北区日進町1丁目800-1,35.9263081,139.6042299,公立保育所,１歳〜５歳,80,7:30,19:30
11007,さいたま市,上小保育園,"048-
643-4436
",さいたま市大宮区上小町845-4,35.9000089,139.6113249,公立保育所,５７日〜５歳,90,7:30,19:30
11007,さいたま市,七里保育園,"048-
685-2717
",さいたま市見沼区大谷1985,35.9266013,139.6754239,公立保育所,５７日〜５歳,100,7:30,19:30
11007,さいたま市,大成保育園,"048-
667-2559
",さいたま市大宮区大成町3丁目655-1,35.915505,139.611419,公立保育所,５７日〜５歳,100,7:30,19:30
11007,さいたま市,片柳保育園,"048-
685-4611
",さいたま市見沼区御蔵796,35.9064357,139.6693388,公立保育所,１歳〜５歳,80,7:30,19:30
11007,さいたま市,植水保育園,"048-
623-6698
",さいたま市西区佐知川306,35.9035548,139.5871364,公立保育所,１歳〜５歳,100,7:30,19:30
11007,さいたま市,東大宮保育園,"048-
685-0601
",さいたま市見沼区丸ヶ崎町13-13,35.9536105,139.6513747,公立保育所,６か月〜５歳,106,7:30,19:30
11007,さいたま市,寿能保育園,"048-
644-0470
",さいたま市大宮区寿能町2-140,35.9211386,139.6366859,公立保育所,５７日〜５歳,100,7:30,19:30
11007,さいたま市,奈良保育園,"048-
651-7172
",さいたま市北区奈良町125-6,35.9491015,139.5979922,公立保育所,５７日〜５歳,106,7:30,19:30
11007,さいたま市,七里東保育園,"048-
683-3969
",さいたま市見沼区新堤40,35.9310369,139.6713813,公立保育所,５７日〜５歳,100,7:30,19:30
11007,さいたま市,指扇保育園,"048-
623-5065
",さいたま市西区高木567-3,35.9274483,139.5707863,公立保育所,５７日〜５歳,100,7:30,19:30
11007,さいたま市,泰平保育園,"048-
667-1847
",さいたま市北区今羽町596,35.9484806,139.6262982,公立保育所,６か月〜５歳,100,7:30,19:30
11007,さいたま市,馬宮保育園,"048-
623-4014
",さいたま市西区西遊馬119,35.9014867,139.5741551,公立保育所,６か月〜５歳,106,7:30,19:30
11007,さいたま市,三橋西保育園,"048-
622-1350
",さいたま市西区三橋6丁目381-1,35.9129169,139.5860387,公立保育所,６か月〜５歳,80,7:30,19:30
11007,さいたま市,春野保育園,"048-
686-6756
",さいたま市見沼区春野1丁目7-1,35.9556838,139.6679948,公立保育所,６か月〜５歳,100,7:30,19:30
11007,さいたま市,上落合保育園,"048-
852-1587
",さいたま市中央区上落合2丁目9-10,35.8896879,139.6263099,公立保育所,５７日〜５歳,90,7:30,19:30
11007,さいたま市,与野本町保育園,"048-
851-9057
",さいたま市中央区本町東7丁目4-19,35.8915592,139.6207431,公立保育所,５７日〜２歳,30,7:30,19:30
11007,さいたま市,大戸保育園,"048-
853-2410
",さいたま市中央区大戸2丁目7-19,35.8654006,139.6333921,公立保育所,５７日〜５歳,90,7:30,19:30
11007,さいたま市,下落合団地保育園,"048-
832-9167
",さいたま市中央区下落合3丁目8-2,35.8851949,139.6313905,公立保育所,５７日〜５歳,80,7:30,19:30
11007,さいたま市,鈴谷西保育園,"048-
853-7755
",さいたま市中央区鈴谷7丁目3-31,35.8741521,139.6261579,公立保育所,５７日〜５歳,80,7:30,19:30
11007,さいたま市,鈴谷東保育園,"048-
855-1034
",さいたま市中央区鈴谷9丁目3-2,35.8765538,139.6286983,公立保育所,１歳〜５歳,80,7:30,19:30
11007,さいたま市,八王子保育園,"048-
855-4700
",さいたま市中央区八王子5丁目12-17,35.8806327,139.6053678,公立保育所,５７日〜５歳,90,7:30,19:30
11007,さいたま市,西町保育園,"048-
756-4632
",さいたま市岩槻区西町3丁目1-24,35.9531017,139.6865264,公立保育所,５７日〜５歳,90,7:30,19:30
11007,さいたま市,岩槻本町保育園,"048-
756-7565
",さいたま市岩槻区本町2丁目5-5,35.9441537,139.6935401,公立保育所,６か月〜５歳,60,7:30,19:30
11007,さいたま市,諏訪保育園,"048-
794-1620
",さいたま市岩槻区諏訪2丁目5-1,35.9691143,139.7090236,公立保育所,６か月〜５歳,130,7:30,19:30
11007,さいたま市,美幸保育園,"048-
757-8450
",さいたま市岩槻区美幸町3-18,35.9602155,139.6909925,公立保育所,６か月〜５歳,90,7:30,19:30
